290.135, 132.536, 7.023,  9.900 False
289.904, 132.573, 7.043,  9.933 False
289.671, 132.608, 7.071,  9.966 False
289.437, 132.643, 7.113,  9.999 False
289.201, 132.677, 7.159, 10.032 False
288.963, 132.711, 7.210, 10.065 False
288.724, 132.745, 7.249, 10.098 False
288.483, 132.777, 7.295, 10.131 False
288.241, 132.809, 7.333, 10.164 False
287.998, 132.841, 7.368, 10.197 False
287.754, 132.872, 7.392, 10.230 False
287.509, 132.902, 7.411, 10.263 False
287.264, 132.932, 7.414, 10.296 False
287.018, 132.960, 7.413, 10.329 False
286.773, 132.988, 7.420, 10.362 False
286.527, 133.016, 7.442, 10.395 False
286.280, 133.042, 7.475, 10.428 False
286.031, 133.069, 7.520, 10.461 False
285.780, 133.095, 7.563, 10.494 False
285.528, 133.120, 7.607, 10.527 False
285.275, 133.145, 7.636, 10.560 False
285.020, 133.169, 7.671, 10.593 False
284.765, 133.189, 7.689, 10.626 False
284.509, 133.201, 7.694, 10.659 False
284.253, 133.207, 7.684, 10.692 False
283.997, 133.206, 7.684, 10.725 False
283.740, 133.201, 7.704, 10.758 False
283.483, 133.191, 7.742, 10.791 False
283.224, 133.176, 7.792, 10.824 False
282.963, 133.157, 7.849, 10.857 False
282.701, 133.135, 7.896, 10.890 False
282.438, 133.108, 7.950, 10.923 False
282.174, 133.077, 7.997, 10.956 False
281.908, 133.043, 8.041, 10.989 False
281.642, 133.008, 8.081, 11.022 False
281.375, 132.971, 8.107, 11.055 False
281.108, 132.931, 8.108, 11.088 False
280.841, 132.890, 8.111, 11.121 False
280.575, 132.846, 8.117, 11.154 False
280.308, 132.801, 8.130, 11.187 False
280.041, 132.754, 8.135, 11.220 False
279.775, 132.705, 8.140, 11.253 False
279.508, 132.655, 8.144, 11.286 False
279.242, 132.604, 8.148, 11.319 False
278.976, 132.551, 8.140, 11.352 False
278.711, 132.498, 8.132, 11.385 False
278.445, 132.445, 8.133, 11.418 False
278.179, 132.392, 8.140, 11.451 False
277.913, 132.339, 8.149, 11.484 False
277.646, 132.286, 8.155, 11.517 False
277.380, 132.232, 8.160, 11.550 False
277.113, 132.179, 8.162, 11.583 False
276.846, 132.125, 8.164, 11.616 False
276.580, 132.071, 8.164, 11.649 False
276.313, 132.018, 8.161, 11.682 False
276.046, 131.964, 8.159, 11.715 False
275.780, 131.911, 8.161, 11.748 False
275.513, 131.857, 8.162, 11.781 False
275.246, 131.806, 8.161, 11.814 False
274.979, 131.754, 8.160, 11.847 False
274.711, 131.704, 8.161, 11.880 False
274.444, 131.655, 8.163, 11.913 False
274.176, 131.606, 8.163, 11.946 False
273.908, 131.558, 8.164, 11.979 False
273.640, 131.511, 8.166, 12.012 False
273.372, 131.464, 8.166, 12.045 False
273.104, 131.418, 8.163, 12.078 False
272.835, 131.373, 8.162, 12.111 False
272.567, 131.328, 8.164, 12.144 False
272.299, 131.284, 8.167, 12.177 False
272.030, 131.241, 8.169, 12.210 False
271.761, 131.199, 8.169, 12.243 False
271.492, 131.157, 8.165, 12.276 False
271.223, 131.117, 8.163, 12.309 False
270.953, 131.077, 8.165, 12.342 False
270.684, 131.038, 8.168, 12.375 False
270.414, 131.000, 8.172, 12.408 False
270.144, 130.962, 8.170, 12.441 False
269.875, 130.925, 8.159, 12.474 False
269.606, 130.889, 8.151, 12.507 False
269.336, 130.854, 8.151, 12.540 False
269.067, 130.820, 8.157, 12.573 False
268.797, 130.786, 8.165, 12.606 False
268.526, 130.753, 8.170, 12.639 False
268.256, 130.720, 8.174, 12.672 False
267.985, 130.689, 8.176, 12.705 False
267.714, 130.658, 8.178, 12.738 False
267.443, 130.627, 8.179, 12.771 False
267.172, 130.598, 8.181, 12.804 False
266.901, 130.569, 8.182, 12.837 False
266.630, 130.541, 8.183, 12.870 False
266.358, 130.513, 8.183, 12.903 False
266.087, 130.486, 8.184, 12.936 False
265.815, 130.459, 8.184, 12.969 False
265.544, 130.434, 8.183, 13.002 False
265.272, 130.408, 8.182, 13.035 False
265.001, 130.384, 8.183, 13.068 False
264.729, 130.360, 8.184, 13.101 False
264.457, 130.336, 8.183, 13.134 False
